Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour,Day_of_week,Month,Quarter
512-91-0811,C,Naypyitaw,Normal,Male,Health And Beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6,20,Wednesday,February,1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic Accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,74.7,4.761904762,3.735,4.1,13,Saturday,February,1
163-56-7055,C,Naypyitaw,Member,Male,Fashion Accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,19,Tuesday,March,1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion Accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,13,Friday,March,1
551-21-3069,C,Naypyitaw,Normal,Female,Electronic Accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,11,Friday,February,1
628-34-3388,C,Naypyitaw,Normal,Male,Fashion Accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,164.28,4.761904762,8.214,7.9,20,Saturday,January,1
588-01-7461,C,Naypyitaw,Normal,Female,Food And Beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,305.82,4.761904762,15.291,4.2,10,Sunday,March,1
861-77-0145,C,Naypyitaw,Member,Male,Electronic Accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,819.7,4.761904762,40.985,9.2,14,Sunday,March,1
210-67-5886,C,Naypyitaw,Member,Female,Health And Beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8,10,Tuesday,February,1
237-01-6122,C,Naypyitaw,Member,Female,Home And Lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5,20,Friday,February,1
225-98-1496,C,Naypyitaw,Normal,Female,Fashion Accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,81.06,4.761904762,4.053,7.1,13,Saturday,March,1
659-36-1684,C,Naypyitaw,Member,Male,Sports And Travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,399.84,4.761904762,19.992,6.5,12,Saturday,January,1
336-78-2147,C,Naypyitaw,Member,Male,Home And Lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,511.28,4.761904762,25.564,4.6,19,Wednesday,March,1
189-08-9157,C,Naypyitaw,Normal,Female,Fashion Accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9,16,Tuesday,January,1
663-86-9076,C,Naypyitaw,Member,Female,Food And Beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,548.32,4.761904762,27.416,8.5,15,Tuesday,January,1
483-71-1164,C,Naypyitaw,Normal,Female,Health And Beauty,81.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,487.8,4.761904762,24.39,5.3,16,Friday,March,1
597-78-7908,C,Naypyitaw,Normal,Male,Fashion Accessories,90.22,3,13.533,284.193,2019-02-18,19:39:00,Cash,270.66,4.761904762,13.533,6.2,19,Monday,February,1
731-81-9469,C,Naypyitaw,Member,Female,Sports And Travel,89.8,10,44.9,942.9,2019-01-23,13:00:00,Credit card,898.0,4.761904762,44.9,5.4,13,Wednesday,January,1
280-17-4359,C,Naypyitaw,Member,Male,Health And Beauty,90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,905.0,4.761904762,45.25,8.1,13,Friday,January,1
338-65-2210,C,Naypyitaw,Member,Female,Health And Beauty,68.6,10,34.3,720.3,2019-02-05,19:57:00,Cash,686.0,4.761904762,34.3,9.1,19,Tuesday,February,1
488-25-4221,C,Naypyitaw,Member,Female,Food And Beverages,30.41,1,1.5205000000000002,31.9305,2019-02-22,10:36:00,Credit card,30.41,4.761904762,1.5205000000000002,8.4,10,Friday,February,1
458-41-1477,C,Naypyitaw,Normal,Female,Health And Beauty,46.26,6,13.878,291.438,2019-03-08,17:11:00,Credit card,277.56,4.761904762,13.878,9.5,17,Friday,March,1
568-90-5112,C,Naypyitaw,Normal,Male,Health And Beauty,66.14,4,13.228,277.788,2019-03-19,12:46:00,Credit card,264.56,4.761904762,13.228,5.6,12,Tuesday,March,1
584-86-7256,C,Naypyitaw,Member,Male,Sports And Travel,34.56,7,12.096,254.016,2019-03-11,16:07:00,Credit card,241.92,4.761904762,12.096,7.3,16,Monday,March,1
214-17-6927,C,Naypyitaw,Normal,Female,Food And Beverages,16.48,6,4.944,103.824,2019-02-07,18:23:00,Ewallet,98.88,4.761904762,4.944,9.9,18,Thursday,February,1
400-89-4171,C,Naypyitaw,Normal,Female,Sports And Travel,80.97,8,32.388,680.148,2019-01-28,13:05:00,Cash,647.76,4.761904762,32.388,9.3,13,Monday,January,1
894-41-5205,C,Naypyitaw,Normal,Female,Food And Beverages,43.18,8,17.272,362.712,2019-01-19,19:39:00,Credit card,345.44,4.761904762,17.272,8.3,19,Saturday,January,1
423-80-0988,C,Naypyitaw,Normal,Male,Sports And Travel,76.4,2,7.64,160.44,2019-01-30,19:42:00,Ewallet,152.8,4.761904762,7.64,6.5,19,Wednesday,January,1
234-65-2137,C,Naypyitaw,Normal,Male,Home And Lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32:00,Cash,955.8,4.761904762,47.79,4.8,13,Wednesday,January,1
733-33-4967,C,Naypyitaw,Normal,Male,Electronic Accessories,20.85,8,8.34,175.14,2019-03-03,19:17:00,Cash,166.8,4.761904762,8.34,6.3,19,Sunday,March,1
139-52-2867,C,Naypyitaw,Normal,Female,Fashion Accessories,22.51,7,7.8785,165.4485,2019-02-13,10:50:00,Credit card,157.57,4.761904762,7.8785,4.8,10,Wednesday,February,1
342-65-4817,C,Naypyitaw,Member,Male,Health And Beauty,86.8,3,13.02,273.42,2019-01-28,16:47:00,Ewallet,260.4,4.761904762,13.02,9.9,16,Monday,January,1
130-98-8941,C,Naypyitaw,Normal,Male,Fashion Accessories,64.26,7,22.491,472.311,2019-02-09,10:00:00,Cash,449.82,4.761904762,22.491,5.7,10,Saturday,February,1
434-83-9547,C,Naypyitaw,Member,Male,Food And Beverages,38.47,8,15.388,323.148,2019-01-23,11:51:00,Cash,307.76,4.761904762,15.388,7.7,11,Wednesday,January,1
824-88-3614,C,Naypyitaw,Normal,Male,Health And Beauty,34.31,8,13.724,288.204,2019-01-25,15:00:00,Ewallet,274.48,4.761904762,13.724,5.7,15,Friday,January,1
593-65-1552,C,Naypyitaw,Normal,Female,Home And Lifestyle,69.81,4,13.962,293.202,2019-01-28,20:50:00,Credit card,279.24,4.761904762,13.962,5.9,20,Monday,January,1
286-43-6208,C,Naypyitaw,Normal,Female,Food And Beverages,87.8,9,39.51,829.71,2019-03-16,19:08:00,Cash,790.2,4.761904762,39.51,9.2,19,Saturday,March,1
556-86-3144,C,Naypyitaw,Member,Female,Fashion Accessories,74.29,1,3.7145,78.0045,2019-01-13,19:30:00,Cash,74.29,4.761904762,3.7145,5.0,19,Sunday,January,1
848-24-9445,C,Naypyitaw,Member,Male,Health And Beauty,43.7,2,4.37,91.77,2019-03-26,18:03:00,Cash,87.4,4.761904762,4.37,4.9,18,Tuesday,March,1
699-01-4164,C,Naypyitaw,Normal,Male,Health And Beauty,41.5,4,8.3,174.3,2019-03-12,19:58:00,Credit card,166.0,4.761904762,8.3,8.2,19,Tuesday,March,1
420-11-4919,C,Naypyitaw,Member,Female,Food And Beverages,71.39,5,17.8475,374.7975,2019-02-17,19:57:00,Credit card,356.95,4.761904762,17.8475,5.5,19,Sunday,February,1
606-80-4905,C,Naypyitaw,Member,Female,Sports And Travel,19.15,6,5.745,120.645,2019-01-29,10:01:00,Credit card,114.9,4.761904762,5.745,6.8,10,Tuesday,January,1
426-39-2418,C,Naypyitaw,Normal,Male,Electronic Accessories,61.41,7,21.4935,451.3635,2019-01-14,10:02:00,Cash,429.87,4.761904762,21.4935,9.8,10,Monday,January,1
672-51-8681,C,Naypyitaw,Member,Female,Electronic Accessories,66.65,9,29.9925,629.8425,2019-01-04,18:19:00,Credit card,599.85,4.761904762,29.9925,9.7,18,Friday,January,1
263-87-5680,C,Naypyitaw,Member,Female,Home And Lifestyle,28.53,10,14.265,299.565,2019-03-18,17:38:00,Ewallet,285.3,4.761904762,14.265,7.8,17,Monday,March,1
677-11-0152,C,Naypyitaw,Normal,Female,Food And Beverages,93.26,9,41.967,881.307,2019-01-16,18:08:00,Cash,839.34,4.761904762,41.967,8.8,18,Wednesday,January,1
389-25-3394,C,Naypyitaw,Normal,Male,Electronic Accessories,11.81,5,2.9525,62.0025,2019-02-17,18:06:00,Cash,59.05,4.761904762,2.9525,9.4,18,Sunday,February,1
279-62-1445,C,Naypyitaw,Member,Female,Fashion Accessories,12.54,1,0.627,13.167,2019-02-21,12:38:00,Cash,12.54,4.761904762,0.627,8.2,12,Thursday,February,1
746-68-6593,C,Naypyitaw,Member,Female,Sports And Travel,87.16,2,8.716,183.036,2019-01-11,14:29:00,Credit card,174.32,4.761904762,8.716,9.7,14,Friday,January,1
583-72-1480,C,Naypyitaw,Member,Male,Electronic Accessories,37.06,4,7.412,155.652,2019-01-31,16:24:00,Ewallet,148.24,4.761904762,7.412,9.7,16,Thursday,January,1
211-30-9270,C,Naypyitaw,Normal,Male,Health And Beauty,17.41,5,4.3525,91.4025,2019-01-28,15:16:00,Credit card,87.05,4.761904762,4.3525,4.9,15,Monday,January,1
755-12-3214,C,Naypyitaw,Member,Female,Fashion Accessories,44.22,5,11.055,232.155,2019-03-05,17:07:00,Credit card,221.1,4.761904762,11.055,8.6,17,Tuesday,March,1
142-72-4741,C,Naypyitaw,Member,Male,Fashion Accessories,93.2,2,9.32,195.72,2019-02-28,18:37:00,Credit card,186.4,4.761904762,9.32,6.0,18,Thursday,February,1
662-47-5456,C,Naypyitaw,Member,Male,Fashion Accessories,35.19,10,17.595,369.495,2019-03-17,19:06:00,Credit card,351.9,4.761904762,17.595,8.4,19,Sunday,March,1
883-17-4236,C,Naypyitaw,Normal,Female,Sports And Travel,14.39,2,1.439,30.219,2019-03-02,19:44:00,Credit card,28.78,4.761904762,1.439,7.2,19,Saturday,March,1
380-94-4661,C,Naypyitaw,Member,Male,Electronic Accessories,65.94,4,13.188,276.948,2019-02-07,13:05:00,Credit card,263.76,4.761904762,13.188,6.9,13,Thursday,February,1
821-07-3596,C,Naypyitaw,Normal,Female,Fashion Accessories,16.45,4,3.29,69.09,2019-03-07,14:53:00,Ewallet,65.8,4.761904762,3.29,5.6,14,Thursday,March,1
808-65-0703,C,Naypyitaw,Normal,Male,Home And Lifestyle,35.47,4,7.094,148.974,2019-03-14,17:22:00,Credit card,141.88,4.761904762,7.094,6.9,17,Thursday,March,1
687-15-1097,C,Naypyitaw,Member,Female,Health And Beauty,21.12,2,2.112,44.352,2019-01-03,19:17:00,Cash,42.24,4.761904762,2.112,9.7,19,Thursday,January,1
526-86-8552,C,Naypyitaw,Member,Female,Home And Lifestyle,21.82,10,10.91,229.11,2019-01-07,17:36:00,Cash,218.2,4.761904762,10.91,7.1,17,Monday,January,1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion Accessories,95.42,4,19.084,400.764,2019-02-02,13:23:00,Ewallet,381.68,4.761904762,19.084,6.4,13,Saturday,February,1
537-72-0426,C,Naypyitaw,Member,Male,Fashion Accessories,70.99,10,35.495,745.395,2019-03-20,16:28:00,Cash,709.9,4.761904762,35.495,5.7,16,Wednesday,March,1
523-38-0215,C,Naypyitaw,Normal,Male,Home And Lifestyle,37.0,1,1.85,38.85,2019-03-06,13:29:00,Credit card,37.0,4.761904762,1.85,7.9,13,Wednesday,March,1
593-95-4461,C,Naypyitaw,Member,Male,Home And Lifestyle,74.86,1,3.743,78.603,2019-03-24,14:49:00,Cash,74.86,4.761904762,3.743,6.9,14,Sunday,March,1
226-71-3580,C,Naypyitaw,Normal,Female,Sports And Travel,23.75,9,10.6875,224.4375,2019-01-31,12:02:00,Cash,213.75,4.761904762,10.6875,9.5,12,Thursday,January,1
558-80-4082,C,Naypyitaw,Normal,Male,Electronic Accessories,27.85,7,9.7475,204.6975,2019-03-14,17:20:00,Ewallet,194.95,4.761904762,9.7475,6.0,17,Thursday,March,1
211-05-0490,C,Naypyitaw,Member,Female,Electronic Accessories,51.92,5,12.98,272.58,2019-03-03,13:42:00,Cash,259.6,4.761904762,12.98,7.5,13,Sunday,March,1
727-75-6477,C,Naypyitaw,Normal,Male,Electronic Accessories,28.84,4,5.768,121.128,2019-03-29,14:44:00,Cash,115.36,4.761904762,5.768,6.4,14,Friday,March,1
779-06-0012,C,Naypyitaw,Member,Female,Home And Lifestyle,88.61,1,4.4305,93.0405,2019-01-19,10:21:00,Cash,88.61,4.761904762,4.4305,7.7,10,Saturday,January,1
446-47-6729,C,Naypyitaw,Normal,Male,Fashion Accessories,99.82,2,9.982,209.622,2019-01-02,18:09:00,Credit card,199.64,4.761904762,9.982,6.7,18,Wednesday,January,1
735-06-4124,C,Naypyitaw,Normal,Male,Food And Beverages,48.61,1,2.4305,51.0405,2019-02-25,15:31:00,Cash,48.61,4.761904762,2.4305,4.4,15,Monday,February,1
181-94-6432,C,Naypyitaw,Member,Male,Fashion Accessories,69.33,2,6.933,145.593,2019-02-05,19:05:00,Ewallet,138.66,4.761904762,6.933,9.7,19,Tuesday,February,1
227-07-4446,C,Naypyitaw,Member,Female,Electronic Accessories,78.13,10,39.065,820.365,2019-02-10,20:51:00,Cash,781.3,4.761904762,39.065,4.4,20,Sunday,February,1
174-36-3675,C,Naypyitaw,Member,Male,Food And Beverages,99.37,2,9.937,208.677,2019-02-14,17:29:00,Cash,198.74,4.761904762,9.937,5.2,17,Thursday,February,1
428-83-5800,C,Naypyitaw,Member,Female,Food And Beverages,21.08,3,3.162,66.402,2019-02-09,10:25:00,Cash,63.24,4.761904762,3.162,7.3,10,Saturday,February,1
603-07-0961,C,Naypyitaw,Member,Male,Electronic Accessories,74.79,5,18.6975,392.6475,2019-01-10,11:34:00,Cash,373.95,4.761904762,18.6975,4.9,11,Thursday,January,1
704-20-4138,C,Naypyitaw,Member,Female,Health And Beauty,29.67,7,10.3845,218.0745,2019-03-11,18:58:00,Credit card,207.69,4.761904762,10.3845,8.1,18,Monday,March,1
787-15-1757,C,Naypyitaw,Member,Male,Health And Beauty,44.07,4,8.814,185.094,2019-02-18,16:28:00,Ewallet,176.28,4.761904762,8.814,8.4,16,Monday,February,1
649-11-3678,C,Naypyitaw,Normal,Female,Food And Beverages,22.93,9,10.3185,216.6885,2019-02-26,20:26:00,Cash,206.37,4.761904762,10.3185,5.5,20,Tuesday,February,1
622-20-1945,C,Naypyitaw,Normal,Female,Health And Beauty,39.42,1,1.971,41.391,2019-01-18,15:08:00,Cash,39.42,4.761904762,1.971,8.4,15,Friday,January,1
719-76-3868,C,Naypyitaw,Member,Male,Food And Beverages,94.26,4,18.852,395.892,2019-03-12,16:30:00,Cash,377.04,4.761904762,18.852,8.6,16,Tuesday,March,1
835-16-0096,C,Naypyitaw,Member,Male,Sports And Travel,14.7,5,3.675,77.175,2019-03-24,13:48:00,Ewallet,73.5,4.761904762,3.675,8.5,13,Sunday,March,1
633-09-3463,C,Naypyitaw,Normal,Female,Electronic Accessories,47.65,3,7.1475,150.0975,2019-03-28,12:58:00,Credit card,142.95,4.761904762,7.1475,9.5,12,Thursday,March,1
416-13-5917,C,Naypyitaw,Normal,Female,Food And Beverages,97.03,5,24.2575,509.4075,2019-01-30,16:24:00,Ewallet,485.15,4.761904762,24.2575,9.3,16,Wednesday,January,1
725-96-3778,C,Naypyitaw,Member,Female,Home And Lifestyle,89.25,8,35.7,749.7,2019-01-20,10:13:00,Cash,714.0,4.761904762,35.7,4.7,10,Sunday,January,1
860-79-0874,C,Naypyitaw,Member,Female,Fashion Accessories,99.3,10,49.65,1042.65,2019-02-15,14:53:00,Credit card,993.0,4.761904762,49.65,6.6,14,Friday,February,1
320-49-6392,C,Naypyitaw,Normal,Female,Electronic Accessories,30.24,1,1.512,31.752,2019-03-04,15:44:00,Cash,30.24,4.761904762,1.512,8.4,15,Monday,March,1
632-90-0281,C,Naypyitaw,Normal,Female,Fashion Accessories,37.55,10,18.775,394.275,2019-03-08,20:01:00,Credit card,375.5,4.761904762,18.775,9.3,20,Friday,March,1
554-42-2417,C,Naypyitaw,Normal,Female,Sports And Travel,95.44,10,47.72,1002.12,2019-01-09,13:45:00,Cash,954.4,4.761904762,47.72,5.2,13,Wednesday,January,1
605-72-4132,C,Naypyitaw,Normal,Female,Food And Beverages,94.47,8,37.788,793.548,2019-02-27,15:12:00,Cash,755.76,4.761904762,37.788,9.1,15,Wednesday,February,1
471-41-2823,C,Naypyitaw,Normal,Male,Food And Beverages,99.79,2,9.979,209.559,2019-03-07,20:37:00,Ewallet,199.58,4.761904762,9.979,8.0,20,Thursday,March,1
272-27-9238,C,Naypyitaw,Normal,Female,Food And Beverages,41.24,4,8.248,173.208,2019-02-19,16:23:00,Cash,164.96,4.761904762,8.248,7.1,16,Tuesday,February,1
834-25-9262,C,Naypyitaw,Normal,Female,Fashion Accessories,81.68,4,16.336,343.056,2019-01-06,12:12:00,Cash,326.72,4.761904762,16.336,9.1,12,Sunday,January,1
122-61-9553,C,Naypyitaw,Normal,Female,Electronic Accessories,51.32,9,23.094,484.974,2019-03-14,19:33:00,Cash,461.88,4.761904762,23.094,5.6,19,Thursday,March,1
613-59-9758,C,Naypyitaw,Normal,Female,Sports And Travel,14.36,10,7.18,150.78,2019-01-27,14:28:00,Cash,143.6,4.761904762,7.18,5.4,14,Sunday,January,1
730-70-9830,C,Naypyitaw,Normal,Female,Home And Lifestyle,70.11,6,21.033,441.693,2019-03-14,17:54:00,Ewallet,420.66,4.761904762,21.033,5.2,17,Thursday,March,1
382-25-8917,C,Naypyitaw,Normal,Male,Fashion Accessories,42.08,6,12.624,265.104,2019-01-29,12:25:00,Cash,252.48,4.761904762,12.624,8.9,12,Tuesday,January,1
743-88-1662,C,Naypyitaw,Normal,Male,Sports And Travel,95.49,7,33.4215,701.8515,2019-02-22,18:17:00,Ewallet,668.43,4.761904762,33.4215,8.7,18,Friday,February,1
595-86-2894,C,Naypyitaw,Member,Male,Fashion Accessories,96.98,4,19.396,407.316,2019-02-06,17:20:00,Ewallet,387.92,4.761904762,19.396,9.4,17,Wednesday,February,1
462-78-5240,C,Naypyitaw,Normal,Female,Electronic Accessories,26.61,2,2.661,55.881,2019-03-19,14:35:00,Cash,53.22,4.761904762,2.661,4.2,14,Tuesday,March,1
153-58-4872,C,Naypyitaw,Member,Female,Food And Beverages,74.89,4,14.978,314.538,2019-03-01,15:32:00,Ewallet,299.56,4.761904762,14.978,4.2,15,Friday,March,1
689-16-9784,C,Naypyitaw,Normal,Male,Food And Beverages,46.77,6,14.031,294.651,2019-03-11,13:37:00,Cash,280.62,4.761904762,14.031,6.0,13,Monday,March,1
394-41-0748,C,Naypyitaw,Member,Female,Fashion Accessories,54.07,9,24.3315,510.9615,2019-01-27,14:55:00,Ewallet,486.63,4.761904762,24.3315,9.5,14,Sunday,January,1
541-89-9860,C,Naypyitaw,Member,Female,Fashion Accessories,80.48,3,12.072,253.512,2019-02-15,12:31:00,Cash,241.44,4.761904762,12.072,8.1,12,Friday,February,1
110-05-6330,C,Naypyitaw,Normal,Female,Food And Beverages,39.43,6,11.829,248.409,2019-03-25,20:18:00,Credit card,236.58,4.761904762,11.829,9.4,20,Monday,March,1
651-61-0874,C,Naypyitaw,Normal,Male,Home And Lifestyle,46.22,4,9.244,194.124,2019-03-12,20:04:00,Credit card,184.88,4.761904762,9.244,6.2,20,Tuesday,March,1
236-86-3015,C,Naypyitaw,Member,Male,Home And Lifestyle,13.98,1,0.6990000000000001,14.679,2019-02-04,13:38:00,Ewallet,13.98,4.761904762,0.6990000000000001,9.8,13,Monday,February,1
587-03-7455,C,Naypyitaw,Member,Female,Fashion Accessories,97.79,7,34.2265,718.7565,2019-02-16,17:30:00,Ewallet,684.53,4.761904762,34.2265,4.9,17,Saturday,February,1
372-26-1506,C,Naypyitaw,Normal,Female,Fashion Accessories,23.82,5,5.955,125.055,2019-01-28,19:24:00,Ewallet,119.1,4.761904762,5.955,5.4,19,Monday,January,1
750-57-9686,C,Naypyitaw,Normal,Female,Home And Lifestyle,45.38,4,9.076,190.596,2019-01-08,13:48:00,Credit card,181.52,4.761904762,9.076,8.7,13,Tuesday,January,1
186-09-3669,C,Naypyitaw,Member,Female,Health And Beauty,81.51,1,4.0755,85.5855,2019-01-22,10:57:00,Ewallet,81.51,4.761904762,4.0755,9.2,10,Tuesday,January,1
266-76-6436,C,Naypyitaw,Member,Female,Food And Beverages,38.6,3,5.79,121.59,2019-03-28,13:57:00,Ewallet,115.8,4.761904762,5.79,7.5,13,Thursday,March,1
740-22-2500,C,Naypyitaw,Normal,Female,Electronic Accessories,84.05,3,12.6075,264.7575,2019-01-23,13:29:00,Cash,252.15,4.761904762,12.6075,9.8,13,Wednesday,January,1
